id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
7,79E+12;Gaseosa Pomelo Light Paso de los Toros 1.5 Lt;PASO DE LOS TOROS;1.5 lt;Gaseosa;Gaseosa   Pomelo;Gaseosa   Pomelo   Light;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Lima Limon 7 Up 1.5 Lt;7 UP;1.5 lt;Gaseosa;Gaseosa   Lima;Gaseosa   Lima   Limon;Bebidas sin alcohol (no agua)
7,79E+12;Agua Saborizada Citrus con Gas H2Oh! 1.5 Lt;H2OH!;1.5 lt;Agua;Agua   Saborizada;Agua   Saborizada   Citrus;Bebidas sin alcohol (no agua)
7,79E+12;Agua Saborizada Limoneto con Gas H2Oh! 1.5 Lt;H2OH!;1.5 lt;Agua;Agua   Saborizada;Agua   Saborizada   Limoneto;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Pepsi 2.25 Lt;PEPSI;2.25 lt;Gaseosa;Gaseosa   Pepsi;Gaseosa   Pepsi   2.25;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Pepsi Light 2.25 Lt;PEPSI;2.25 lt;Gaseosa;Gaseosa   Pepsi;Gaseosa   Pepsi   Light;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Lima Limon 7 Up 2.25 Lt;7 UP;2.25 lt;Gaseosa;Gaseosa   Lima;Gaseosa   Lima   Limon;Bebidas sin alcohol (no agua)
7,79E+12;Agua Saborizada Citrus con Gas H2Oh! 2.25 Lt;H2OH!;2.25 lt;Agua;Agua   Saborizada;Agua   Saborizada   Citrus;Bebidas sin alcohol (no agua)
7,79E+12;Ketchup Natura 250 Gr;NATURA;250.0 gr;Ketchup;Ketchup   Natura;Ketchup   Natura   250;Almacen no incluidos en otra categoría
7,79E+12;Mayonesa Doypack Natura 237 Gr;NATURA;237.0 gr;Mayonesa;Mayonesa   Doypack;Mayonesa   Doypack   Natura;Almacen no incluidos en otra categoría
7,79E+12;Mayonesa Doypack Natura 950 Gr;NATURA;950.0 gr;Mayonesa;Mayonesa   Doypack;Mayonesa   Doypack   Natura;Almacen no incluidos en otra categoría
7,79E+12;Mayonesa Doypack Natura 500 Ml;NATURA;500.0 ml;Mayonesa;Mayonesa   Doypack;Mayonesa   Doypack   Natura;Almacen no incluidos en otra categoría
7,79E+12;Mayonesa con Aceite de Oliva Mayoliva 227 Gr;MAYOLIVA;237.0 gr;Mayonesa;Mayonesa   con;Mayonesa   con   Aceite;Almacen no incluidos en otra categoría
7,79E+12;Mostaza Doypack Natura 250 Gr;NATURA;250.0 gr;Mostaza;Mostaza   Doypack;Mostaza   Doypack   Natura;Almacen no incluidos en otra categoría
